source_entity,target_entity,relationship_type,weight,source_followers,target_followers,source_engagement,target_engagement
@tech_guru,@startup_founder,follows,1.0,150000,5000,0.85,0.45
@tech_guru,@ai_researcher,mentions,2.5,150000,12000,0.85,0.72
@startup_founder,@investor_pro,follows,1.0,5000,80000,0.45,0.78
@ai_researcher,@data_scientist,shares,3.0,12000,3500,0.72,0.38
@investor_pro,@startup_founder,mentions,2.0,80000,5000,0.78,0.45
@data_scientist,@ml_engineer,likes,1.5,3500,2800,0.38,0.32
@ml_engineer,@tech_guru,follows,1.0,2800,150000,0.32,0.85
@crypto_trader,@finance_expert,follows,1.0,25000,45000,0.65,0.68
@finance_expert,@investor_pro,mentions,2.2,45000,80000,0.68,0.78
@social_media_manager,@content_creator,follows,1.0,8000,15000,0.55,0.62
@content_creator,@influencer_coach,shares,2.8,15000,22000,0.62,0.71
@influencer_coach,@social_media_manager,mentions,1.8,22000,8000,0.71,0.55
@tech_guru,@crypto_trader,mentions,1.9,150000,25000,0.85,0.65
@ai_researcher,@ml_engineer,follows,1.0,12000,2800,0.72,0.32
@startup_founder,@content_creator,likes,1.3,5000,15000,0.45,0.62 